UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
107080,"R",352,"R",364,"R",97,"R",393,"R",1,"R",0,"R",392,"R",342,"R",87,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
107099,"A",,"A",,"A",,"R",11,"R",0,"R",0,"R",11,"R",9,"R",82,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
107123,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
107141,"R",323,"R",776,"R",42,"R",358,"R",0,"R",0,"R",358,"R",305,"R",85,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
107211,"A",,"A",,"A",,"R",4,"Z",0,"Z",0,"R",4,"R",2,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
107220,"A",,"A",,"A",,"R",102,"R",0,"Z",0,"R",102,"R",87,"R",85,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
107293,"A",,"A",,"A",,"R",12,"R",0,"R",0,"R",12,"R",8,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
107318,"R",143,"R",726,"R",20,"R",198,"R",0,"R",0,"R",198,"R",91,"R",46,"R",54,"R",0,"R",0,"R",54,"R",24,"R",44,"R",11
107327,"R",213,"R",564,"R",38,"R",199,"R",0,"R",0,"R",199,"R",130,"R",65,"R",70,"R",0,"R",0,"R",70,"R",30,"R",43,"R",14
107442,"A",,"A",,"A",,"R",27,"R",0,"R",0,"R",27,"R",22,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
107460,"R",403,"R",590,"R",68,"R",378,"R",0,"R",0,"R",378,"R",229,"R",61,"R",71,"R",0,"R",0,"R",71,"R",36,"R",51,"R",15
107488,"A",,"A",,"A",,"R",172,"R",3,"R",0,"R",169,"R",66,"R",39,"R",6,"R",2,"R",0,"R",4,"R",1,"R",25,"R",5
107512,"R",395,"R",459,"R",86,"R",412,"R",0,"R",0,"R",412,"R",332,"R",81,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
107521,"R",124,"R",286,"R",43,"R",118,"R",0,"R",0,"R",118,"R",65,"R",55,"R",27,"R",0,"R",0,"R",27,"R",7,"R",26,"R",14
107549,"R",168,"R",329,"R",51,"R",204,"R",0,"R",0,"R",204,"R",117,"R",57,"R",20,"Z",0,"Z",0,"R",20,"R",7,"R",35,"R",15
107558,"R",189,"R",234,"R",81,"R",210,"Z",0,"Z",0,"R",210,"R",154,"R",73,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",14
107585,"R",444,"R",871,"R",51,"R",482,"R",0,"R",0,"R",482,"R",253,"R",52,"R",92,"R",0,"R",0,"R",92,"R",41,"R",45,"R",24
107600,"R",280,"R",359,"R",78,"R",170,"R",0,"R",0,"R",170,"R",117,"R",69,"R",4,"R",0,"R",0,"R",4,"R",1,"R",25,"R",16
107619,"R",114,"R",265,"R",43,"R",141,"R",0,"Z",0,"R",141,"R",89,"R",63,"R",16,"R",0,"Z",0,"R",16,"R",6,"R",38,"R",12
